ticker,gics_industry_group,ret_12m,vol_12m,drawdown_12m,mom_3m,liq_proxy,target_distress_12m
CBA,Banks,-0.0487,0.0156,-0.219,-0.0939,0.9656,0
BHP,Materials,0.6316,0.0168,-0.2416,0.2234,0.8927,0
CSL,Pharma,-0.5887,0.0233,-0.6758,-0.3479,2.1441,1
NAB,Banks,0.0228,0.0134,-0.2422,-0.1807,1.431,0
WBC,Banks,0.1831,0.0134,-0.1596,-0.0998,1.0371,0
ANZ,Banks,0.2799,0.0132,-0.1833,-0.091,1.0304,0
MQG,Diversified Financials,0.1841,0.0154,-0.2906,0.1196,1.0951,0
WES,Retailing,-0.1204,0.012,-0.2337,-0.182,0.9052,0
WOW,Food Retail,0.0643,0.0162,-0.2514,0.0447,1.0044,0
TLS,Telecom,0.201,0.0077,-0.0745,0.109,0.8304,0
RIO,Materials,0.6246,0.0169,-0.2094,0.1677,0.7816,0
FMG,Materials,0.4888,0.0185,-0.4366,0.152,0.6943,0
ALL,Other,-0.1657,0.0176,-0.4213,0.0408,1.0403,1
COL,Other,-0.0111,0.0127,-0.1423,-0.038,1.1652,0
GMG,Other,-0.0165,0.0166,-0.3463,0.0058,0.9847,1
TCL,Other,0.0708,0.0088,-0.1022,0.0377,1.0015,0
STO,Energy,0.2965,0.0182,-0.3011,0.2013,1.0103,0
WDS,Energy,0.5406,0.0188,-0.3011,0.2431,1.0523,0
AMC,Other,-0.2251,0.0156,-0.3284,-0.2331,1.2211,1
QBE,Insurance,0.066,0.0145,-0.2023,0.2215,0.6588,0
SUN,Insurance,-0.1265,0.0134,-0.3886,0.1087,1.1404,1
IAG,Insurance,-0.024,0.0152,-0.2645,0.1762,1.1486,0
REA,Software,-0.3461,0.0191,-0.4423,0.0031,1.3442,1
XRO,Software,-0.563,0.0264,-0.6374,0.0077,1.6505,1
CPU,Other,-0.2275,0.0153,-0.339,-0.0022,0.7678,1
ORG,Energy,0.0936,0.0152,-0.1536,-0.005,0.9711,0
MIN,Other,1.6372,0.036,-0.8188,0.2552,0.5071,0
JHX,Other,-0.3001,0.0332,-0.5607,-0.2572,0.6284,1
ASX,Other,-0.144,0.0147,-0.3115,0.099,1.2607,1
MPL,Other,0.0208,0.0122,-0.189,0.0553,0.9964,0
RMD,Other,-0.2325,0.0152,-0.3853,-0.1867,1.1778,1
SEK,Other,-0.3807,0.0207,-0.5403,-0.2043,1.0546,1
SHL,Other,-0.2662,0.0155,-0.33,-0.1103,1.2965,1
NST,Gold,0.1268,0.0317,-0.4532,-0.2738,1.0634,0
EVN,Gold,0.5814,0.0317,-0.3417,-0.1677,0.7345,0
NEM,Other,1.0279,0.028,-0.3194,-0.0918,0.5723,0
APA,Other,0.3788,0.0086,-0.2183,0.1604,0.754,0
GPT,Other,0.0541,0.0118,-0.2086,-0.0631,0.7209,0
MGR,Other,-0.2134,0.0134,-0.306,-0.1108,0.9837,1
SCG,Other,0.0443,0.0109,-0.197,-0.0367,1.0051,0
SGP,Other,-0.2503,0.0134,-0.422,-0.2495,1.3249,1
DXS,Other,-0.1151,0.0113,-0.2234,-0.046,0.6428,0
LLC,Other,-0.4333,0.0167,-0.5651,-0.3081,1.1117,1
QAN,Transport,-0.13,0.0188,-0.2951,-0.1609,1.0814,0
TAH,Other,-0.0046,0.0346,-0.4572,-0.1934,1.7692,1
JBH,Retailing,-0.2949,0.0179,-0.4017,-0.1122,1.2785,1
HVN,Other,-0.1331,0.0165,-0.4074,-0.2781,1.205,1
SUL,Other,-0.1703,0.0179,-0.3807,-0.2052,1.1704,1
TWE,Other,-0.4893,0.0247,-0.7164,-0.1449,0.9983,1
TPG,Other,-0.1552,0.0233,-0.3515,0.1194,1.4168,1
CAR,Other,-0.2647,0.0192,-0.4599,0.0313,1.6111,1
IEL,Other,-0.6887,0.0492,-0.8432,-0.4485,1.8056,1
PME,Other,-0.5614,0.0309,-0.6724,0.0468,0.9068,1
WHC,Other,0.5053,0.0231,-0.4984,-0.0674,0.8013,0
NHC,Other,0.4985,0.0223,-0.3071,0.1147,0.8778,0
S32,Other,0.4138,0.023,-0.3459,-0.0336,0.7544,0
IGO,Other,1.0359,0.0349,-0.5901,0.029,1.0771,0
LYC,Other,1.3556,0.0385,-0.4367,0.1268,0.7778,0
PLS,Other,3.3551,0.0423,-0.7298,0.3944,0.7222,0
SFR,Other,0.7659,0.0249,-0.3092,0.0016,0.779,0
BSL,Other,0.359,0.0205,-0.2061,0.0868,0.7393,0
BEN,Other,-0.0686,0.015,-0.2614,-0.0464,0.6541,0
BOQ,Other,-0.1432,0.0137,-0.1938,-0.0761,1.6934,0
HUB,Other,-0.0047,0.0287,-0.3543,0.0103,1.0664,1
NWL,Other,-0.2655,0.0265,-0.446,0.0187,0.7352,1
CGF,Other,0.3319,0.0161,-0.2605,0.1113,0.8131,0
IFL,Other,0.2639,0.0162,-0.2949,0.0323,1.0586,0
AMP,Other,0.213,0.0273,-0.3877,0.1473,1.102,0
PDN,Other,0.895,0.0414,-0.7764,-0.1005,0.7252,0
RRL,Gold,0.5031,0.0331,-0.3958,-0.1821,0.9343,0
WAF,Other,0.4034,0.0283,-0.2941,-0.109,1.1978,0
CMM,Other,0.5742,0.0317,-0.4112,0.0132,1.1773,0
EDV,Other,-0.2017,0.0123,-0.3875,-0.1676,0.892,1
ALX,Other,-0.0019,0.0132,-0.1616,0.0942,1.7821,0
AZJ,Other,0.485,0.0113,-0.1936,0.1331,0.9047,0
AGL,Energy,-0.068,0.0173,-0.3006,-0.1128,1.0202,1
MEZ,Other,-0.0803,0.02,-0.2385,0.013,0.6246,0
VCX,Other,0.0883,0.0121,-0.1506,0.001,0.9644,0
CLW,Other,-0.0733,0.01,-0.2505,-0.0695,1.1188,0
